year	week	rank	title_id	title	author
1932	1932-05-09	2	2875	MAGNOLIA STREET	Louis Golding
1932	1932-05-09	3	847	BRIGHT SKIN	Julia Peterkin
1932	1932-05-16	1	5304	THE GOOD EARTH	Pearl S. Buck
1932	1932-05-16	2	167	A MODERN HERO	Louis Bromfield
1932	1932-05-16	3	2875	MAGNOLIA STREET	Louis Golding
1932	1932-05-23	1	5304	THE GOOD EARTH	Pearl S. Buck
1932	1932-05-23	2	167	A MODERN HERO	Louis Bromfield
1932	1932-05-23	3	847	BRIGHT SKIN	Julia Peterkin
1932	1932-05-30	1	5304	THE GOOD EARTH	Pearl S. Buck
1932	1932-05-30	2	4652	THE BLACK SWAN	Rafael Sabatini
1932	1932-05-30	3	167	A MODERN HERO	Louis Bromfield
1932	1932-06-06	1	1474	DISTRICT NURSE	Faith Baldwin
1932	1932-06-06	2	5304	THE GOOD EARTH	Pearl S. Buck
1932	1932-06-06	3	4652	THE BLACK SWAN	Rafael Sabatini
1932	1932-06-13	1	5193	THE FOUNTAIN	Charles Morgan
1932	1932-06-13	2	5304	THE GOOD EARTH	Pearl S. Buck
1932	1932-06-13	3	1474	DISTRICT NURSE	Faith Baldwin
1932	1932-06-20	1	5193	THE FOUNTAIN	Charles Morgan
1932	1932-06-20	2	1474	DISTRICT NURSE	Faith Baldwin

